brand,model,engine_type,fuel,transmission,km,price,year,type
Volkswagen,Tayron,2.0 TSI,Petrol,Automatic,0.0,1399900,2026.0,autojarov
Volkswagen Užitkové vozy,TRANSPORTER,6.1 KOMBI,Diesel,Manual,119163.0,699900,2022.0,autojarov
Škoda,SUPERB,2.0 TDI,Diesel,Automatic,167974.0,479900,2022.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,161297.0,209900,2022.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,148661.0,199900,2022.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,29322.0,445900,2024.0,autojarov
Volkswagen,Touran,1.5 TSI,Petrol,Automatic,14410.0,769000,2025.0,autojarov
SEAT,Arona,1.0 TSI,Petrol,Manual,26108.0,519900,2023.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Manual,26110.0,534900,2023.0,autojarov
Škoda,ENYAQ,,Electric,Automatic,45160.0,549900,2022.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Manual,27057.0,474900,2023.0,autojarov
Peugeot,BOXER,2.2 BLUE,Diesel,Manual,127209.0,378000,2020.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Automatic,23758.0,699900,2025.0,autojarov
Audi,Q5,,Diesel,Automatic,0.0,1819900,2026.0,autojarov
Škoda,KODIAQ,2.0 TDI,Diesel,Automatic,0.0,1384700,2026.0,autojarov
Škoda,SUPERB,2.0 TDI,Diesel,Automatic,17597.0,1119000,2025.0,autojarov
Škoda,SUPERB,2.0 TDI,Diesel,Automatic,19937.0,1109000,2025.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,14152.0,439000,2024.0,autojarov
Volkswagen,Touran,2.0 TDI,Diesel,Automatic,11489.0,824000,2025.0,autojarov
Volkswagen,Taigo,1.0 TSI,Petrol,Automatic,8974.0,529000,2025.0,autojarov
Škoda,KAROQ,1.5 TSI,Petrol,Automatic,0.0,788000,2026.0,autojarov
Audi,A6,,Diesel,Automatic,150389.0,724000,2021.0,autojarov
